Categoría,Alimento,Producto,Empresa
"Queques, alfajores, productos horneados",Queques,"Queque de naranja Dr. Schar, 200gr (6un)",Schär - Importa Globe Italia
"Queques, alfajores, productos horneados",Queques,Queque de chocolate Schar 200 gr (6un),Schär - Importa Globe Italia
"Queques, alfajores, productos horneados",Magdalenas,Magdalenas chips sin gluten,Cuisine&Co - JUMBO
"Queques, alfajores, productos horneados",Muffins,"Muffin arándano, 400gr",DelMoli
Galletas,Galletas saladas,"Pan crujiente SPLIIT camote (sweet potato), 130G","Roma Food - Importado por
Cencosud"
Galletas,Galleta de maíz,"Cheezy chips, snack de maíz crema cebolla marca Be Snacks,
100gr",Be
Galletas,Galleta de maíz,"Galleta maíz con sal de mar Be Snacks, 100gr",Be
Galletas,Galleta de maíz,Salmas maíz amarillo (clásicas),Sanissimo - Grupo Bimbo
Galletas,Galleta de maíz,Salmas maíz morado,Sanissimo - Grupo Bimbo
Galletas,Galleta de maíz,Salmitas clásicas horneadas,Sanissimo - Grupo Bimbo
Galletas,Galleta de maíz,Salmas Camote y zanahoria,Sanissimo - Grupo Bimbo
Galletas,Galleta de maíz,"Tortitas de maíz con caramelo BICENTURY, 134G","BICENTURY - Importado por
Cencosud"
Galletas,Galleta de arroz y quínoa,"Be Rice saladas, galletas de arroz y quinoa con sal, 110gr",Be
Galletas,Galletas Obleas,Galletas Obleas Wafers Alla Vaniglia 125 g,Schär - Importa Globe Italia
Galletas,Galletas de arroz,"Galletas de arroz sabor manzana, 16gr, doypack 100",Mizos
Galletas,Galletas de arroz,"Galletas de arroz sabor arándanos y granada, 16gr",Mizos
Galletas,Galletas de arroz,"Galletas de arroz con lineas de chocolate, 20gr",Mizos
Galletas,Galletas de arroz,"Galletas de arroz Cerealitas, 160gr",Cerealitas - Mondelez
Galletas,Galletas de arroz,"Galletas de Arroz con Cobertura de Chocolate Negro y Naranja,
25gr",Mizos
Galletas,Galletas de arroz,"Galletas de Arroz con Cobertura de Yoghurt y Limón, 25gr",Mizos
Galletas,Galletas de arroz,"Galletitas de arroz bañadas en chocolate naranja, 25 gr","Lider - Elabora Sociedad
industrial de Alimentos Vida
Saludable"
Galletas,Galletas de arroz,"Galletita de arroz Mini con cubierta sabor chocolate, 20gr","Lider - Elabora Sociedad
industrial de Alimentos Vida
Saludable"
Galletas,Galletas de arroz,"Galletitas de arroz Mini con jugo de manzana, 16gr","Lider - Elabora Sociedad
industrial de Alimentos Vida
Saludable"
Galletas,Galletas de arroz,"Galleta de arroz con un toque de sal, 110gr","Lider - Elabora Sociedad
industrial de Alimentos Vida
Saludable"
Galletas,Galletas de arroz,"Galleta de arroz endulzada con stevia, 110gr","Lider - Elabora Sociedad
industrial de Alimentos Vida
Saludable"
Galletas,Galletas de arroz,Rice Cake Kupiec Slim multigrano (galletas de arroz),Kupiec - Importa Elbelman
Galletas,Galletas de arroz,Rice Cake Kupiec Slim naturales (galletas de arroz),Kupiec - Importa Elbelman
Galletas,Galletas de arroz,"Rice Cake Kupiec with dark chocolate (galletas de arroz
chocolate negro)",Kupiec - Importa Elbelman
Galletas,Galletas de arroz,"Rice Cake Kupiec with milk chocolate (galletas de arroz chocolate
leche)",Kupiec - Importa Elbelman
Galletas,Galletas de arroz,"Rice Cake Kupiec with milk chocolate con caramelo (galletas de
arroz chocolate leche)",Kupiec - Importa Elbelman
Galletas,Galletas de arroz,Rice Cake Kupiec Slim Sésamo (galletas de arroz),Kupiec - Importa Elbelman
Galletas,Tortitas de arroz,Tortita de arroz integral Bio,Santiveri - NutrisaCorp
Galletas,Tortitas de arroz,"Tortitas de arroz (Reiswaffleln natur) BIOZENTRALE, 100G","Bio Zentrale - Importado por
Cencosud"
Galletas,Tostadas (pan de molde),"Tostadas crujientes Noglut, 100gr",Santiveri - NutrisaCorp
Galletas,Tostadas (pan de molde),"Tostadas de cereal y quinoa Orgran, 125 grg",Orgran - Importa Cencosud
Galletas,Tostadas (pan de molde),"Tostadas de trigo sarraceno Orgran, 125 gr",Orgran - Importa Cencosud
Galletas,Tostadas (pan de molde),"Pan crujiente SPLIIT camote (swet potato), 130G","SPLIT - Importado por
Cencosud"
Galletas,Galletas,"Snack multigrano Sésamo Sal de mar Be Snacks, 100g",Be
Galletas,Galletas,"Snack multigrano sal de mar & Pimienta negra Be Snacks, 100gr",Be
Galletas,Galletas,"Galletas Choco chips choocolate, 100g",Schär - Importa Globe Italia
Galletas,Galletas,Galleta Chocolate O's 165g,Schär - Importa Globe Italia
Galletas,Galletas,"Galletas choco chips, 130gr",Gullón
Galletas,Galletas,"Vicenzovo Galletas de champaña sin gluten, 125 gr","Matilde Vicenzi - Importa
Cencosud"
Galletas,Galletas,Galletas oblea (wafers) vainilla Noglut,NutrisaCorp
Galletas,Galletas,"Galleta de arroz c/chocolate (reiswafflen vollimilch schokolade)
BIOZENTRALE 100G","Bio Zentrale - Importado por
Cencosud"
Galletas,Galletas,"Tostadas de maíz Orgran, 125gr",Orgran - Importa Cencosud
Galletas,Galletas,Galetas Schar Grissini 150g,Schär - Importa Globe Italia
Cereales para desayuno y barras de cereal,Cereal,"Puffs, Cereal Infantil de Arroz sabor Frutilla Betarraga, 10g y 50g",Kuna Foods SpA
Cereales para desayuno y barras de cereal,Cereal,Cereal miel y cacao Noglut,Santiveri - NutrisaCorp
Cereales para desayuno y barras de cereal,Cereal,Corn flakes Noglut,NutrisaCorp
Cereales para desayuno y barras de cereal,Cereal,"Cereal Orgran sin gluten Puff chocolate, 300 gr",Orgran - Importa Cencosud
Cereales para desayuno y barras de cereal,Cereal,"Cereal Orgran sin gluten Puff arroz, 300 gr",Orgran - Importa Cencosud
Cereales para desayuno y barras de cereal,Cereal,"Cereal de arroz sabor berries Orgran, 300 gr",Orgran - Importa Cencosud
Cereales para desayuno y barras de cereal,Barra de cereal,Twenty's chocolate Brownie,Your-goal
Cereales para desayuno y barras de cereal,Barra de cereal,Twenty's chocolate Fudge,Your-goal
Cereales para desayuno y barras de cereal,Barra de cereal,Twenty's Lemon Cheesecake,Your-goal
Cereales para desayuno y barras de cereal,Barra de cereal,Barra cereal Snack Bai (super alimento),Mi Otra Pasión
Cereales para desayuno y barras de cereal,Barra de cereal,Twenty?s Hazelnut Praline,Your-goal
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra Cereal con proteína KIRKLAND, 42 UN","KIRKLAND - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra Proteina KIND con chocolate amargo, 250G","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra Proteina KIND THINS con mantequilla de maní y chocolate,
250G","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra Proteína KIND mantequilla de maní, 250gr","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra choco chips KIND, 175G","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra frutos secos KIND con mantequilla de maní y chocolate,
240gr","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra KIND THINS chocolate amargo y sal, 240gr","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barra de cereal,"Barra frutos secos y sal KIND, 240g","Kind - Importado por
Cencosud"
Cereales para desayuno y barras de cereal,Barras proteicas,Origins Almendra & Coco,Your-goal
Cereales para desayuno y barras de cereal,Barras proteicas,Origins Avellana & Cacao,Your-goal
Cereales para desayuno y barras de cereal,Barras proteicas,Twenty?s Mini Lemon Cheesecake,Your-goal
Cereales para desayuno y barras de cereal,Barras proteicas,Twenty?s Mini Chocolate Fudge,Your-goal
Cereales para desayuno y barras de cereal,Barras proteicas,Twenty?s Mini Chocolate Brownie,Your-goal
Cereales para desayuno y barras de cereal,Barras proteicas,Perfect Nutrition Protein Chips Sour Cream & Onion Flavour,Your-goal
Cereales para desayuno y barras de cereal,Cereal Infantil,"Puffs, Cereal Infantil de Arroz sabor Plátano Zapallo, 10g y 50g",Kuna Foods SpA
Cereales para desayuno y barras de cereal,Cereal Infantil,"Puffs, Cereal Infantil de Arroz sabor Manzana Arándano, 10g y
50g",Kuna Foods SpA
Cereales para desayuno y barras de cereal,Granola,Granola de almendras y coco,Mizos
Cereales para desayuno y barras de cereal,Granola,"Granola mix semillas, 250gr",Mizos
Cereales para desayuno y barras de cereal,Barras frutos secos,"Barrita Natural Maní, 35gr",Mizos
Cereales para desayuno y barras de cereal,Quinoa pop,"Pipoca de quínoa, 200gr",Ambrosia
Cereales para desayuno y barras de cereal,Quinoa pop,"Quinoa pop Allfree, 180gr",Allfree
Cereales para desayuno y barras de cereal,Barra natural,"Barrita Natural Arándano, 35gr",Mizos
Cereales para desayuno y barras de cereal,Barra natural,Barrita Natural Cacao/Coco,Mizos
"Golosinas: caramelos, gomitas, otros",Goma de mascar/ chicles,"Chicles sabores frutales, 14g",Fini
"Golosinas: caramelos, gomitas, otros",Goma de mascar/ chicles,"Chicles fruta, 14g y 80g",Fini
"Golosinas: caramelos, gomitas, otros",Goma de mascar/ chicles,"Chicle ensalada de frutas, 80gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas de fruta, malvas, y marshmellow",Mi Otra Pasión
"Golosinas: caramelos, gomitas, otros",Gomitas,Malvas chocolates / jamoncitos,Mi Otra Pasión
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Dentaduras, 90gr, 15gr (mix fiesta), 500gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Calavera rellenas, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Deli frutas, 70g y 200g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Deli frutos rojos, 70g y 200g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Deli Postres, 70g y 200g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Fresas salvajes gigates, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Huevos fritos, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Twisty fresa (twisty frutilla), 1 kg",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Marshmallow Mariposa, 250gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Ranas gigantes, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,Chicle sandía 80g y 500g,Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Besos de frutilla, 500gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Moras, 15gr (mix de fiesta)",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Cereza, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Cinema mix, 1000g, doy pack 180g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Corazones de melocotón, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Corazones Tricolor, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Estrellas de mar, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Fresas salvajes chicas, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,Gomitas Gusanos dulce 90g y 500g,Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Gusanos ácido 40g, 90g, 250g, 500g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Osos Gigantes, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Oso Mega XXL , 900g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Plátano, 90gr y 500gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Pulpos ácidos, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas tajadas de Sandía, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Tiburones, 1000g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas violeta s/ gluten marca Giopasa, 135gr","Gicopa - importado por
Cencosud"
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas mix frutal s/ gluten marca Giopasa, 135gr","Gicopa - importado por
Cencosud"
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Fresón relleno crema, 780g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Frutilla mega XXL, 900g",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Marshmallow Volcán azul, 250gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Ositos, 15g (mix fiesta)",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,Gomitas Frutilla 15gr Mix fiesta,Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,Gomitas Gusanos ácido 15g (mix fiesta),Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas mini Frutilla, doypack 165gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Manzana grande, 1000gr",Fini
"Golosinas: caramelos, gomitas, otros",Gomitas,"Gomitas Dedos cortados, 1000gr",Fini
"Golosinas: caramelos, gomitas, otros",Turrones,"Turrón duro, 150 gr","Memorable - Importa
Cencosud"
"Golosinas: caramelos, gomitas, otros",Turrones,"TURRON DE JIJONA PREM ""1880"" 150G",1888 - Pisquera de Chile
"Golosinas: caramelos, gomitas, otros",Marshmallows,Marshmallows Trenza de Colores 80g,Fini
"Golosinas: caramelos, gomitas, otros",Marshmallows,"Marshmallow Flor, 250g",Fini
"Golosinas: caramelos, gomitas, otros",Marshmallows,"Marshmallow Corazón, 80g",Fini
"Golosinas: caramelos, gomitas, otros",Marshmallows,"Marshmallow Mini tubos, 80g",Fini
Chocolates y coberturas,Chocolates de leche,"Chocolate Leche sin lactosa, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate leche con almendra sin azúcar, 150gr",Valor - Importa Cencosud
Chocolates y coberturas,Bombón,"Bombón Berggold naranja limón, 250GR",Berggold - Importa Cencosud
Chocolates y coberturas,Barra de chocolate,"Chocolate Almendra troceadas 85% cacao sin azúcar, 100G",Valor - Importa Cencosud
Chocolates y coberturas,Barra de chocolate,"Chocolate Valor Cremosso negro 70% cacao, 90G",Valor - Importa Cencosud
Chocolates y coberturas,Barra de chocolate,"Chocolate VALOR cremoso negro 85% cacao, 90G",Valor - Importa Cencosud
Chocolates y coberturas,Barra de chocolate,"Chocolate Negro Cremosso 70% cacao con naranja, 90gr",Valor - Importa Cencosud
Chocolates y coberturas,Barra de chocolate,"Barra de chocolate blanco con frutos rojos BICENTURY, 5U 90G","BICENTURY - Importado por
Cencosud"
Chocolates y coberturas,Chocolate en polvo,"Chocolate Leche Creamy relleno con avellanas, sin azúcar, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate en polvo,"Cacao soluble 70%, lata 300gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate en polvo,"Cacao Soluble puro (100%), 250gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 70% sabor naranja, 100g",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 70% sabor menta, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 70%, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate leche sin azúcar, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,Chocolate negro 70% sin azúcar,Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 82% cacao, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 70% sabor frambuesa, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 70% con sal, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 92%, sin azúcar, 100g",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate negro 85%, sin azúcar, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate 52% Puro, sin azúcar, 100gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate orgánico nibs cacao, 200 gr",Pacari - Importa Cencosud
Chocolates y coberturas,Chocolate,"Chocolate puro almendras, sin azúcar, 150gr",Valor - Importa Cencosud
Chocolates y coberturas,Chocolate,"Mini tazas de mantequilla de maní con chocolate con leche
orgánico, 133 g","Justin's - Importado por
Cencosud"
Chocolates y coberturas,Chocolate,"Mini tazas de mantequilla de maní con chocolate amargo
orgánico, 133 g","Justin's - Importado por
Cencosud"
Chocolates y coberturas,Cobertura de chocolate,"Cobertura Blanca para moldear, bañar y decorar Neucober
(código 102-202)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura Amarga Suave de Moldeo Neucober (código
104M-204)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,Cobertura de Chocolate Leche Extra Neucober (código 106-206),Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura para bañado de Alfajores alto rendimiento Neucober
(código 107-407)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura de chocolate de Leche Fina Sin Azúcar Neucober
(código 108)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura de chocolate Bitter 60% Cacao sin azúcar Neucober
(código 109)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura blanca para Alfajores alto rendimiento Neucober
(código 110-410)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura de chocolate Fino Bitter Extra 63% Cacao Neucober
(código 112)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura de chocolate blanco Extra Fino Neucober (código
116-216)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura leche para Huevos y Figuras Neucober (código
120-420)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,"Cobertura de chocolate Bitter Premium 72% Cacao Neucober
(código 132)",Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,Cobertura para bañado sin azúcar Neucober (código 407),Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,Cremonel (código 250),Industrias Neuchatel
Chocolates y coberturas,Cobertura de chocolate,Cobertura para Helados (código 209),Industrias Neuchatel
Chocolates y coberturas,Crema de cacao y avellanas,"Cremonella, crema de cacao y avellanas europeas (código 2501),
doypack de 650g",Industrias Neuchatel
Chocolates y coberturas,Crema de cacao y avellanas,"Cremonella sin azúcar añadida, crema de cacao y avellanas
europeas (código 2502), doypack de 650g",Industrias Neuchatel
Leches,Leche en polvo,"SVELTY MOVE+ , leche Descremada, Softpack 800g",Nestlé
Leches,Leche en polvo,"NIDO Instantánea, Tarro 800g, 900g, 1430g, 1600g, 1820g",Nestlé
Leches,Leche en polvo,"NIDO 1+ Nutritods, Tarro 1600g, 1800g; Softpack 800g, 920g",Nestlé
Leches,Leche en polvo,"NIDO Buen Día, Softpack 130g, 700g",Nestlé
Leches,Leche en polvo,"SVELTY Calcilok (huesos), leche descremada en polvo, Softpack
800g",Nestlé
Leches,Leche en polvo,"SVELTY MOVE+, leche sin lactosa, Softpack 350g, 800g",Nestlé
Leches,Leche en polvo,"NIDO Forticrece, sin lactosa, Tarro 1,44kg, Softpack 840g",Nestlé
Leches,Leche en polvo,"NIDO Forticrece, leche semidescremada, Tarro y Softpack",Nestlé
Leches,Leche en polvo,"SVELTY Colageno, leche descremada en polvo, Softpack 500g",Nestlé
Leches,Leche en polvo,"SVELTY Proteina, leche descremada en polvo, Softpack 500g",Nestlé
Leches,Leche en polvo,"NIDO Leche entera en polvo, Tarro 1700g, 1500g; Softpack 900g",Nestlé
Leches,Leche en polvo,"NIDO Semidescremada, Tarro y Softpack",Nestlé
Leches,Leche en polvo,"NIDO Semidescremada sin lactosa, Tarro y Softpack",Nestlé
Leches,Leche en polvo,"NIDO 1+ Excella gold, Tarro 1,35ñg",Nestlé
Leches,Leche en polvo,"Leche Entera en polvo(26% mat. grasa), bolsa 120g, 400g, 900g,
1440 g y 25Kg",Colun
Leches,Leche en polvo,"Leche descremada en polvo 0% materia grasa, bolsa pillow:
100g, 350g, 800g y 25kg",Colun
Leches,Leche en polvo,Leche Entera en Polvo (envase pillow) 900 gr,Colun
Leches,Leche descremada,"Leche descremada, 1lt",Loncoleche
Leches,Leche descremada,"Leche descremada UHT formatos 200ml, 1Lt con y sin tapa",Colun
Leches,Leche semidescremada,"Leche semidescremada, 1lt",Loncoleche
Leches,Leche semidescremada,Leche semidescremada UHT formatos 200ml y 1Lt con y sin tapa,Colun
Leches,Leche semidescremada,"NEXT Leche blanca COLAGENO, sin lactosa, 1 LITRO",Soprole
Leches,Leche entera,"Leche Entera UHT , caja 200cc y 1lt (con y sin tapa)",Colun
Leches,Leche entera,"Leche A2 entera Sin Lactosa, 1lt",Colun
Leches,Leche c/ sabor semidescremada,"Leche sabor chocolate (semidescremada), 1lt, 200ml y 500ml",Loncoleche
Leches,Leche c/ sabor semidescremada,"Leche sabor frutilla (semidescremada), 1lt y 200ml",Loncoleche
Leches,Leche c/ sabor semidescremada,"Leche sabor vainilla (semidescremada), 1lt y 200ml",Loncoleche
Leches,Leche c/ sabor semidescremada,"Leche sabor plátano (semidescremada), 1lt y 200ml",Loncoleche
Leches,Leche c/ sabor semidescremada,Leche Frutilla caja 200ml y 1Lt,Soprole
Leches,Leche c/ sabor semidescremada,"Leche Chocolate UHT, 200ml y 1Lt",Soprole
Leches,Leche c/ sabor semidescremada,"Leche GOLD sabor chocolate, 1Lt",Soprole
Leches,Leche c/ sabor semidescremada,"Leche GOLD sabor Cappuccino, 1lt",Soprole
Leches,Leche con sabor,"Leche Protein milk sabor chocolate, 200ml y 1lt",Loncoleche
Leches,Leche con sabor,"Leche Chocolate Alta en Proteína, 1lt",Soprole
Leches,Leche con sabor,"Leche Chocolate (semidescremada) UHT formatos 200ml, 1lt
presentación con y sin tapa",Colun
Leches,Leche con sabor,"Leche Chocolate Receta original UHT formatos 200ml, 1lt
presentación con y sin tapa",Colun
Leches,Leche con sabor,"Leche Chocolate Light, 200ml, 330ml y 1 lt con tapa",Colun
Leches,Leche con sabor,"Leche Frutilla (semidescremada), 200ml, 1Lt presentación con y
sin tapa",Colun
Leches,Leche con sabor,"Leche Vainilla (semidescremada) UHT formatos 200ml, 1Lt
presentación con y sin tapa",Colun
Leches,Leche con sabor,"Leche Manjar (semidescremada) UHT formatos 200ml, 1Lt
presentación con y sin tapa",Colun
Leches,Leche con sabor,"Leche Plátano (semidescremada) UHT formatos 200ml, 1lt
presentación con y sin tapa",Colun
Leches,Leche con sabor,"Leche Cappuccino light (sin lactosa) UHT, formato 300ml y 1lt",Colun
Leches,Leche con sabor,"Leche Cappuccino regular UHT, formato 330ml y 1lt",Colun
Leches,Leche con sabor,"Leche Caramelo light (sin lactosa) UHT, formato 330ml y 1lt",Colun
Leches,Leche con sabor,"Leche Caramelo regular (sin lactosa) UHT, formato 330ml y 1lt",Colun
Leches,Leche con sabor,Leche Sabor Plátano 1lt,Soprole
Leches,Leche con sabor,"Leche Protein+ Nitro sabor vainilla, 1 litro",Soprole
Leches,Leche con sabor,"Leche Chocolate original Requete patitas, 200 ml",Soprole
Leches,Leche con sabor,"Leche Protein+ sabor Chocolate, 200 ml",Soprole
Leches,Leche con sabor,"ZEROLACTO Leche Frutilla, 200 ml",Soprole
Leches,Leche con sabor,Leche chocolate alta proteína 200 ml,Soprole
Leches,Leche sin lactosa,"Leche sin lactosa descremada larga vida, 1lt",Loncoleche
Leches,Leche sin lactosa,Leche sin lactosa entera larga vida (líquida),Loncoleche
Leches,Leche sin lactosa,"Leche sin Lactosa Extra Calcio (descremada), 1lt",Loncoleche
Leches,Leche sin lactosa,Leche Zerolacto sabor Chocolate 200ml,Soprole
Leches,Leche sin lactosa,"Leche Sin Lactosa semidescremada, 200ml, 1lt",Loncoleche
Leches,Leche sin lactosa,"Leche sin lactosa sabor vainilla semidescremada, 1lt",Loncoleche
Leches,Leche sin lactosa,"Leche ZEROLACTO s/ sabor descremada, 1lt",Soprole
Leches,Leche sin lactosa,"Leche ZEROLACTO semidescremada,1lt",Soprole
Leches,Leche sin lactosa,"Leche Chocolate sin lactosa UHT (semidescremada), 200ml y 1lt
presentación con tapa",Colun
Leches,Leche sin lactosa,"Leche Sin Lactosa descremada formatos 200ml, 1lt (con y sin
tapa)",Colun
Leches,Leche sin lactosa,"Leche sin lactosa semidescremada, 1lt (con y sin tapa)",Colun
Leches,Leche sin lactosa,"Leche Sin Lactosa Entera, 1lt con y sin tapa",Colun
Leches,Leche sin lactosa,Leche Zerolacto sabor Chocolate 200ml y 1lt,Soprole
Leches,Leche sin lactosa,"Leche Zerolacto entera, 1lt",Soprole
Leches,Leche c/ sabor sin lactosa,"Leche sin lactosa sabor chocolate (semidescremada), 1lt y 200ml",Loncoleche
Leches,Leche c/ sabor sin lactosa,"Leche Break (extra protein) capuccino, sin lactosa, 1lt y 250ml",Loncoleche
Leches,Leche c/ sabor sin lactosa,"Leche Break chocolate avellanas, sin lactosa, 250ml y 1lt",Loncoleche
Leches,Leche c/ sabor sin lactosa,Leche protein milk cappuccino 1lt y 200ml,Loncoleche
Leches,Leche c/ sabor sin lactosa,Leche Frutilla sin lactosa semidescremada 1lt,Loncoleche
Leches,Leche c/ sabor sin lactosa,"Leche Break Loncoleche caramel Macchiato semidescremada sin
lactosa",Loncoleche
Leches,Leche c/ sabor sin lactosa,"Leche descremada sin lactosa light sabor chocolate, 1lt",Loncoleche
Leches,Leche c/ sabor sin lactosa,Leche descremada light sabor Chocolate. 1lt y 200ml,Loncoleche
Leches,Leche de cabra,"Leche de cabra (goats milk) entera en polvo, formato 900 y 400
gr",Dagoat
Leches,Leche de cabra,"Leche de cabra (goats milk) descremada en polvo, formato 900 y
400 gr",Dagoat
Leches,Leche fresca,Leche fresca descremada (pasteurizada) 1lt,Lácteos San Ignacio
Leches,Leche fresca,"Leche fresca entera (pasteurizada),1lt",Lácteos San Ignacio
Leches,Leche fresca,"Leche fresca semidescremada (pasteurizada), 1lt",Lácteos San Ignacio
Leches,Leche fresca,Leche fresca semidescremada Sin Lactosa (pasteurizada) 1lt,Lácteos San Ignacio
Leches,Leche liquida,"Leche Protein milk sabor natural, 1lt",Loncoleche
Leches,Leche liquida,"Leche Full Pro sabor vainilla, 250ml",Loncoleche
Leches,Leche liquida,"Leche entera alta en proteina, 1lt",Soprole
Leches,Leche liquida,"Leche descremada (MID UHT), 1lt",Soprole
Leches,Leche liquida,"Leche Entera Cremosa (Nat 4,5% UHT), 1lt",Soprole
Leches,Leche liquida,Leche entera 1lt caja con y sin tapa,Soprole
Leches,Leche liquida,Leche semidescremada UHT 1Lt,Soprole
Leches,Leche liquida,"Leche Chocolate Original, 1lt",Soprole
Leches,Leche liquida,"Leche Full pro chocolate, 250ml",Loncoleche
Leches,Leche evaporada,"Leche evaporada sin lactosa, 200ml",Loncoleche
Cremas,Crema light,Crema light lista para servir. 200ml y 500ml,Loncoleche
Cremas,Crema light,"Crema light, 200ml",Colun
Cremas,Crema sin lactosa,Crema sin lactosa 1lt y 200ml,Colun
Cremas,Crema sin lactosa,Crema sin lactosa para batir. Larga vida 200ml,Loncoleche
Cremas,Crema sin lactosa,Crema para batir sin lactosa 1lt,Loncoleche
Cremas,Crema,"Crema para batir, (34%) 1lt",Loncoleche
